ID	SRCID	GLOSS	CONCEPTICON_GLOSS	CONCEPTICON_ID
206	0376	eat (vt)	EAT	1336
207	0378	lick (vt)	LICK	319
208	0380	chew (vt)	CHEW	321
209	0381	masticate (vt)		
210	0383	drink (vt)	DRINK	1401
211	0384	swallow (vt)	SWALLOW	897
212	0386	suck (vt)	SUCK	1421
213	0388	vomit (vt)/vomit (呕吐) (vt)	VOMIT	1278
214	0390	spit (v)	SPIT	1440
215	0392	get hungry (v)		
216	0393	feel hungry (v)	BE HUNGRY	1533
217	0395	feel thirsty (v)	THIRSTY	847
218	0397	taste	TASTE	2190
219	0399	tasty	TASTY	1813
220	0401	sweet	SWEET	717
221	0403	hot	HOT	1286
222	0405	bitter	BITTER	887
223	0407	sour	SOUR	1906
224	0409	rotten	ROTTEN	1728
225	0411	mould	MOULD	1166
226	0414	house	HOUSE	1252
227	0415	room	ROOM	1450
228	0417	house, residence		
229	0419	residence		
230	0420	community, settlement		
231	0423	tent	TENT	1316
232	0425	build (a house) (vt)		
233	0427	entrance		
234	0428	exit		
235	0430	door	DOOR	1567
236	0432	room	ROOM	1450
237	0434	floor	FLOOR	1632
238	0436	pillar		
239	0437	beam (of a house)	BEAM	1132
240	0440	wall		
241	0441	mud wall		
242	0443	window	WINDOW	1375
243	0446	roof	ROOF	769
244	0448	fireplace/fireplace (火塘)	FIREPLACE	185
245	0450	fire	FIRE	221
246	0452	light (vt), catch fire (v)	LIGHT (IGNITE)	737
247	0454	flame	FLAME	889
248	0456	smoke	SMOKE (EXHAUST)	778
249	0458	soot	SOOT	830
250	0460	ashes	ASH	646
251	0461	cinder(s)		
252	0463	charcoal	CHARCOAL	1188
253	0464	coal	COAL	2658
254	0466	firewood	FIREWOOD	10
255	0468	matches	MATCH	1133
256	0469	matches	MATCH	1133
257	0471	extinguish (vt)	EXTINGUISH	127
258	0472	put out (vt)	PUT ON	158
259	0473	go out, fade (vi)	FADE (LOOSE COLOR)	2704
260	0475	burn (vi)	BURNING	1428
261	0476	get burned (vi)		
262	0478	set fire to (vt)		
263	0480	table	TABLE	1775
264	0482	chair	CHAIR	1476
265	0483	sitting mat		
266	0485	sit, stay (v)	SIT	1416
267	0486	sit, lie down (v)	LIE DOWN	215
268	0488	bed	BED	1663
269	0490	pillow	PILLOW	1044
270	0492	lie (vi)	LIE (REST)	1411
271	0494	sleep (vi)	SLEEP	1585
272	0495	snore (vi)	SNORE	1983
273	0497	feel sleepy (v)		
274	0499	dream (n)	DREAM	2374
275	0500	dream (v)	DREAM (SOMETHING)	1920
276	0501	wake up (v)	WAKE UP	1602
277	0502	waken (vt)	AWAKE	825
278	0504	stand up, rise (v)	STAND UP	570
279	0506	stand (v)	STAND	1442
280	0508	well (n)	WELL	954
281	0510	hedge		
282	0512	close, shut (vt)		
283	0513	shut one's eyes (v)/shut one's eyes (闭眼) (v)	CLOSE (EYES)	2063
284	0514	close (vi)	CLOVE	2000
285	0516	open (vt)	OPEN	1156
286	0518	live (v)	LIVE	2309
287	0520	stay overnight (v)		
288	0523	tool	TOOL	1361
289	0525	machine	MACHINE	144
290	0527	mirror	MIRROR	1171
291	0529	glass	GLASS	604
292	0531	bowl	BOWL	1530
293	0532	rice bowl		
294	0534	dish, plate	PLATE	480
295	0536	spoon	SPOON	1378
296	0538	pot	POT	1462
297	0539	jug	JUG	270
298	0543	bucket, barrel	BUCKET	2052
299	0546	bottle	BOTTLE	1321
300	0548	pan	PAN	31
301	0549	steamer		
302	0550	earthenware teapot		
303	0552	dip out water (v)		
304	0553	scoop up (vt)		
305	0554	ladle	LADLE	2657
306	0556	pour (vt)	POUR	1487
307	0558	spill it (intentionally) (vt)	SPILL (SOMETHING)	3130
308	0559	spill it (accidentally) (v)		
309	0561	knife	KNIFE	1352
310	0562	handle, haft	HANDLE	1254
311	0564	cutting edge		
312	0566	mortar		
313	0568	pounder		
314	0570	grind (vt)	GRIND	1033
315	0572	pound (vt)	POUND	354
316	0574	hammer	HAMMER	1481
317	0576	nail		
318	0578	saw	SAW	1948
319	0580	axe	AXE	677
320	0582	hoe	HOE	284
321	0584	sickle	SICKLE	341
322	0586	plow		
323	0588	spade	SPADE	1176
324	0590	whet (vt)		
325	0592	dust	DUST	2
326	0594	wipe (vt)	WIPE	1454
327	0596	box	BOX	1465
328	0598	cover (n)	LID (COVER, CAP)	2319
329	0599	sheath		
330	0601	large meshed basket		
331	0602	basket	BASKET	1539
332	0604	sieve	SIEVE	86
333	0606	bag	BAG	2468
334	0607	bag made of Yak's wool		
335	0608	bag made of Yak's wool		
336	0610	square bag of cloth		
337	0611	paper bag for documents		
338	0612	envelope	ENVELOPE	3088
339	0614	rope	ROPE	1218
340	0616	string, cord	STRING	362
341	0618	net	NET	2963
342	0619	net for curtain		
343	0621	cane		
344	0623	stick of wood	STICK	1295
345	0624	small pile		
346	0626	ladder	LADDER	1464
347	0628	board	BOARD	1227
348	0631	be born (v)	BE BORN	1090
349	0633	grow up (v)	GROW UP	552
350	0635	alive (be v)	BE ALIVE	1422
351	0637	fat		
352	0639	thin	THIN	2308
353	0641	get tired (v)	GET TIRED	1996
354	0643	healthy	HEALTHY	1364
355	0645	illness		
356	0647	fever	FEVER	1534
357	0648	catch a cold (v)	CATCH A COLD	2184
358	0649	infectious disease/infectious disease ('the illness spreads one after the other')		
359	0650	syphilis		
360	0654	wound	WOUND	1109
361	0656	be painful, feel pain (v)		
362	0658	feel itchy (v)	ITCHY	149
363	0660	scratch (v)	SCRATCH	1436
364	0662	medicine	MEDICINE	1372
365	0664	cure (vt)	CURE	499
366	0665	cure (vt)	CURE	499
367	0667	recover (v)	RECOVER	1978
368	0669	poison	POISON	655
369	0671	kill (vt)	KILL	1417
370	0673	die (vi)	DIE	1494
371	0675	bury (vt)	BURY	1719
372	0676	mummy		
373	0678	god	GOD	1944
374	0680	pray (v)	PRAY	24
375	0682	fight (v)	FIGHT	1423
376	0683	fight (v)	FIGHT	1423
377	0685	make war (v)		
378	0687	win (v)	WIN	866
379	0689	be defeated (v)		
380	0691	run away (vi)	RUN AWAY	2142
381	0693	chase (vt)		
382	0695	sword	SWORD	1535
383	0697	spear	SPEAR	945
384	0699	shield	SHIELD	1064
385	0701	bow	BOW	994
386	0703	arrow	ARROW	977
387	0705	gun	GUN	1566
388	0708	person, man in general	PERSON	683
389	0710	man, male	MALE	1553
390	0711	male	MALE	1553
391	0713	woman, female	FEMALE	1551
392	0715	baby	BABY	1289
393	0717	child	CHILD	2099
394	0719	boy/boy (小伙子)	BOY	1366
395	0721	girl	GIRL	1646
396	0723	young man, youth	YOUNG MAN	76
397	0725	young lady	YOUNG WOMAN	77
398	0727	adult, grown-ups		
399	0729	old person	OLD PERSON	725
400	0731	young	YOUNG	1207
401	0733	old	OLD	1229
402	0736	father	FATHER	1217
403	0738	mother	MOTHER	1216
404	0740	parents	PARENTS	505
405	0742	grandfather	GRANDFATHER	1383
406	0744	grandmother	GRANDMOTHER	1496
407	0746	uncle	UNCLE	1327
408	0747	uncle (matrilineal)	MATERNAL UNCLE	3220
409	0749	aunt	AUNT	1272
410	0750	aunt (matrilineal)		
411	0752	son	SON	1620
412	0754	daughter	DAUGHTER	1357
413	0756	brother, siblings	BROTHER	1262
414	0758	sister	SISTER	1263
415	0760	nephew/nephew (brother's son / sister's son)		
416	0762	niece	NIECE	1642
417	0764	cousin	COUSIN	1643
418	0766	husband	HUSBAND	1200
419	0767	spouse	SPOUSE	2514
420	0769	wife	WIFE	1199
421	0771	bride (son's wife)		
422	0772	bride	BRIDE	1266
423	0774	son-in-law	SON-IN-LAW	1056
424	0776	marry (v)	MARRY	203
425	0778	widow	WIDOW	1756
426	0779	widower	WIDOWER	1981
427	0781	enemy	ENEMY	1358
428	0783	servant	SERVANT	255
429	0786	village	VILLAGE	930
430	0788	town	TOWN	1391
431	0790	market	MARKET	633
432	0792	hunt (vt)	HUNT	1435
433	0794	shoot (a gun) (v)	SHOOT	1172
434	0795	shoot (v)		
435	0797	trap		
436	0799	fish with a line (v)	FISHING (WITH A HOOK)	2796
437	0801	rich	RICH	712
438	0802	rich/rich (富裕)	RICH	712
439	0804	poor	POOR	1674
440	0805	tattered		
441	0807	steal (vt)	STEAL	713
442	0809	rob (vt)	ROB (VERB)	2073
443	0811	field	FIELD	212
444	0813	work (v)	WORK (ACTIVITY)	1086
445	0815	rest (v)	REST	168
446	0817	cultivate (vt)	CULTIVATE	1541
447	0819	sow (vt)	SOW SEEDS	748
448	0821	reap (vt)		
449	0823	peel (vt)	PEEL	275
450	0825	knit (vt)	KNIT	2905
451	0826	twist a rope (v)		
452	0828	spin (vt)	SPIN	121
453	0830	weave (vt)	WEAVE	133
454	0833	go (vi)	GO	695
455	0835	come (vi)	COME	1446
456	0837	remain (vi)	REMAIN	987
457	0839	get out (vi)		
458	0841	enter (v)	ENTER	749
459	0843	turn (vi)	TURN	1588
460	0844	twisted		
461	0846	turn around (vi)	TURN AROUND	1444
462	0847	turn around (vt)	TURN AROUND	1444
463	0849	get lost (vi)	GET LOST	423
464	0851	arrive (vi)	ARRIVE	1387
465	0852	reach (v)		
466	0854	stop (v)		
467	0855	stop (vt)		
468	0856	perch on (v)		
469	0860	go over (v)		
470	0862	walk (vi)	WALK	1443
471	0864	run (vi)	RUN	1519
472	0866	swift		
473	0868	slow	SLOW	701
474	0869	slowly	SLOWLY	2165
475	0871	creep (vi)	CREEP	3215
476	0873	ride it (vt)	RIDE	367
477	0875	carry (vt)	CARRY	700
478	0877	road	ROAD	667
479	0879	on the way		
480	0881	bridge	BRIDGE	1011
481	0883	travel (pilgrim) (v)		
482	0884	travel (tourism) (v)		
483	0886	cart	CART	122
484	0888	wheel	WHEEL	710
485	0890	boat	BOAT	1844
486	0891	riverboat (of leather)		
487	0893	oar	OAR	3137
488	0895	row (vt)	ROW	1849
489	0898	language	LANGUAGE	1307
490	0899	word	WORD	1599
491	0901	speak (v)	SPEAK	1623
492	0902	explain (v)	EXPLAIN	1626
493	0904	say (v)/say (v.)	SAY	1458
494	0906	shut up (vi)		
495	0908	ask (v)	ASK (REQUEST)	1828
496	0910	answer (v)	ANSWER	1275
497	0912	lie (n)	LIE (FALSEHOOD)	2826
498	0913	fake (n)		
499	0915	truth	TRUTH	1638
500	0917	letter	LETTER	1612
501	0919	write (vt)	WRITE	1672
502	0920	ink	INK	2643
503	0921	pen	PEN	794
504	0923	read (v)	READ	724
505	0925	paper	PAPER	648
506	0927	point to (vt)	POINT (WITH FINGER)	2669
507	0929	call (v)	CALL	1084
508	0931	command (v)	COMMAND	1998
509	0933	mark		
510	0935	name	NAME	1405
511	0938	play	PLAY	1413
512	0940	sing (v)	SING	1261
513	0942	dance (v)	DANCE	1879
514	0945	give, hand (v)	GIVE	1447
515	0947	obtain (v)		
516	0949	sell (vt)	SELL	1571
517	0951	buy (vt)	BUY	1869
518	0952	wages	WAGES	1122
519	0953	commerce		
520	0954	profit		
521	0955	loss		
522	0956	price	PRICE	657
523	0957	expensive	EXPENSIVE	1426
524	0958	cheap	CHEAP	1887
525	0959	bank note		
526	0961	lend (v)	LEND	582
527	0963	borrow (v)	BORROW	1823
528	0965	send (v)	SEND	1127
529	0968	meet, crush (v)		
530	0970	wait (v)	WAIT (FOR)	1590
531	0972	imitate (v)	IMITATE	117
532	0974	praise (v)	PRAISE	1687
533	0976	scold (v)	SCOLD	299
534	0978	deceive (v)	DECEIVE	3230
535	0980	hit (vt)	HIT	1433
536	0981	clap (v)	CLAP	3110
537	0983	help (v)	HELP	1897
538	0986	bite (v)	BITE	1403
539	0988	take (v)	TAKE	1749
540	0990	hold (v)	HOLD	1448
541	0992	seize (vt)	SEIZE	855
542	0993	seize (vt)	SEIZE	855
543	0995	release (v)		
544	0997	throw (v)	THROW	1456
545	0999	throw stg into (v)		
546	1000	throw away (v)		
547	1001	scatter (vt)		
548	1003	touch (v)	TOUCH	1892
549	1005	rub (v)	RUB	1449
550	1007	wave (v)		
551	1009	shake (v)	SHAKE	1909
552	1010	stir (v)	STIR	696
553	1011	earthquake	EARTHQUAKE	6
554	1013	push (vt)	PUSH	1452
555	1015	press (vt)	PRESS	1913
556	1016	oppress (vt)	OPPRESS	401
557	1018	pull (vt)	PULL	1455
558	1020	lengthen (vt)		
559	1021	postpone (v)		
560	1023	squeeze (v)	SQUEEZE	1414
561	1024	buckle, tie (v)	TIE	1917
562	1026	carry on the back (v)	CARRY ON BACK	465
563	1028	kick (v)	KICK	1135
564	1030	tread on it		
565	1032	use (v)	USE (VERB)	2072
566	1033	useful		
567	1035	lose it (v)	LOSE	1660
568	1037	hide it (v)	HIDE	2486
569	1038	cover, conceal (v)	HIDE (CONCEAL)	602
570	1040	put it away (v)		
571	1041	think a great deal of (v)		
572	1043	seek it (v)		
573	1045	find it (v)	FIND	719
574	1047	show it (v)	SHOW	1039
575	1049	put it (v)	PUT	998
576	1051	wrap it (v)	WRAP	1113
577	1053	spread it out (v)	SPREAD OUT	38
578	1054	spread it out (v)	SPREAD OUT	38
579	1056	hang it on (v)		
580	1058	leash (v)	LEASH	2959
581	1060	put it in (v)		
582	1061	put it in, pour (v)	POUR	1487
583	1063	put it out (v)		
584	1065	collect (v)		
585	1066	save, store up (v)		
586	1068	make (v)	MAKE	734
587	1070	destroy it (v)	DESTROY	681
588	1072	repair it (v)	REPAIR	2243
589	1074	split (vi)	SPLIT	1437
590	1075	split (vi)	SPLIT	1437
591	1076	tear (vt)	TEAR (SHRED)	1735
592	1078	bend it (v)	BEND	2004
593	1080	fold (v)	FOLD	1470
594	1081	fold (v)	FOLD	1470
595	1083	wash it (v)	WASH	1453
596	1085	roll it (v)	ROLL	827
597	1086	wind it (v)	WIND	960
598	1088	tie it (v)	TIE	1917
599	1091	untie it (v)	UNTIE	352
600	1092	untie it (v)	UNTIE	352
601	1093	come loose (vi)		
602	1094	come loose (vi)		
603	1096	cover it (up) (v)	COVER	761
604	1098	swell (v)	SWELL	1573
605	1099	swell (v)	SWELL	1573
606	1101	make it bulge (v)		
607	1103	join them (vt)		
608	1104	join them (vt)		
609	1105	connect (vt)	CONNECT	2862
610	1106	leash, drag (v)	LEASH	2959
611	1107	be thrown into (v)		
612	1109	separate (vt)	SEPARATE	1359
613	1111	pull it out (v)	PULL OUT	2325
614	1112	pull it out (v)	PULL OUT	2325
615	1114	stub (v)		
616	1116	cut (vt)	CUT	1432
617	1117	cut off, sever (v)		
618	1118	snap (vi)		
619	1119	chop up (vt)		
620	1120	shear (v)	SHEAR	1532
621	1121	cut out cloth (v)		
622	1122	cut (hair) (vt)		
623	1124	mix it (v)	MIX	2017
624	1126	carve it (v)	CARVE	228
625	1128	dig (a hole) (vt)	DIG	1418
626	1129	dig (vt)	DIG	1418
627	1130	dig (vt)	DIG	1418
628	1133	do it (v)	DO	813
629	1134	do it (v)	DO	813
630	1135	do it (v)	DO	813
631	1137	begin it (vt)	BEGIN	1806
632	1138	begin (vi)	BEGIN	1806
633	1140	end (vi)		
634	1142	exhaust (vi)		
635	1145	continue (v)		
636	1147	stop it (v)		
637	1148	give up (v)		
638	1149	decline (v)		
639	1150	stop (a habit) (vt)		
640	1152	move (v)	MOVE	765
641	1154	slide (v)		
642	1156	fall down (v)	TUMBLE (FALL DOWN)	2894
643	1157	fall upside down (v)		
644	1159	assemble (vi)		
645	1160	meet, assemble (v)		
646	1162	bounce (v)		
647	1164	jump (v)	JUMP	1829
648	1166	rise (v)/rise (上去) (v)		
649	1167	rise (v)		
650	1169	go down, step down (v)	GO DOWN (DESCEND)	2014
651	1170	fall down (v)	TUMBLE (FALL DOWN)	2894
652	1172	fall (v)	FALL	1280
653	1174	get wet (v)	GET WET	2324
654	1175	humid	HUMID	143
655	1177	dry (vt)	DRY UP	1786
656	1179	compare (v)		
657	1181	choose it (v)	CHOOSE	1750
658	1183	get used (vi)		
659	1184	close to, intimate with (be v)		
660	1186	hurry, rush (v)	HURRY	754
661	1188	change (vi)	CHANGE	1264
662	1189	change (vt)	CHANGE	1264
663	1191	skilful		
664	1194	think (v)	THINK	2271
665	1195	think (v)	THINK	2271
666	1196	think (v)	THINK	2271
667	1197	decide (v)	DECIDE	685
668	1198	agree (v)		
669	1200	know (v)	KNOW (SOMETHING)	1410
670	1202	understand (v)	UNDERSTAND	1536
671	1204	learn it (by heart), memorize it (v)		
672	1205	learn it (by heart), memorize it (v)		
673	1207	forget (v)	FORGET	1523
674	1209	recall it (v)		
675	1211	teach (v)	TEACH	709
676	1213	learn it (v)	LEARN	504
677	1215	afraid		
678	1217	get surprised (v)		
679	1219	like it (v)	LIKE	1117
680	1220	tender at (be v)		
681	1222	dislike it (v)		
682	1223	hate (v)	HATE	1607
683	1225	envy (v)	ENVY	40
684	1226	jealous	JEALOUS	2821
685	1227	avaricious		
686	1228	stingy/stingy (小气，舍不得)	STINGY	1774
687	1230	glad		
688	1231	comfortable, happy	HAPPY	1495
689	1233	sad	SAD	699
690	1235	hesitate (v)		
691	1236	doubt it (v)	DOUBT	1308
692	1237	strange, rare, odd	STRANGE	600
693	1238	strange	STRANGE	600
694	1240	believe it (v)	BELIEVE	1890
695	1242	get angry (v)	BECOME ANGRY	2215
696	1243	get angry (v)	BECOME ANGRY	2215
697	1245	forgive (v)	FORGIVE	1528
698	1246	Sorry.		
699	1247	cautious (be v)		
700	1249	feel bashful (v)		
701	1251	worry (v)	WORRY	150
702	1252	worry about (v)	WORRY	150
703	1253	busy (be v)	BUSY	2755
704	1255	be patient, bear (v)		
705	1257	dull, slow (be v)		
706	1258	foolish		
707	1260	clever	CLEVER	1310
708	1261	clever	CLEVER	1310
709	1262	clever	CLEVER	1310
710	1264	mind	MIND	1562
711	1265	mind	MIND	1562
712	1266	mind	MIND	1562
713	1268	mad	MAD	1899
714	1271	sky	SKY	1732
715	1273	weather	WEATHER	952
716	1275	cloud	CLOUD	1489
717	1277	fog	FOG	249
718	1279	rain		
719	1280	rain (v)		
720	1282	thunder	THUNDER	1150
721	1284	lightning	LIGHTNING	1654
722	1286	rainbow	RAINBOW	1733
723	1288	snow	SNOW	784
724	1290	ice	ICE	617
725	1292	freeze (v)	FREEZE	1431
726	1294	melt (v)	MELT	2334
727	1296	sun	SUN	1343
728	1298	moon	MOON	1313
729	1299	menses/menses ('the waist hurts')		
730	1301	star	STAR	1430
731	1303	light		
732	1305	shadow	SHADOW	2275
733	1307	bright, light	BRIGHT	679
734	1308	bright, clear	BRIGHT	679
735	1310	dark	DARK	706
736	1312	wind	WIND	960
737	1313	wind	WIND	960
738	1315	blow (vi)	BLOW (OF WIND)	175
739	1316	blow (vt)	BLOW (WITH MOUTH)	176
740	1318	quiet	QUIET	1314
741	1320	hot	HOT	1286
742	1322	cold	COLD	1287
743	1324	cool		
744	1326	warm (of weather)	WARM (OF WEATHER)	2110
745	1328	mountain	MOUNTAIN	639
